x0000,y0000,x0001,y0001
51.3,49.75,513,30,
51.4,49.75,514,30,
51.5,49.94,515,30,
51.6,49.94,516,30,
51.7,49.94,517,30,
51.8,49.94,518,30,
51.9,49.94,519,30,
52,49.94,520,30,
52.1,50.06,521,30,
52.2,50.06,522,30,
52.3,50.06,523,30,
52.4,50.06,524,30,
52.5,50.06,525,30,
52.6,50.06,526,30,
52.7,50.19,527,30,
52.8,50.19,528,30,
52.9,50.19,529,30,
53,50.19,530,30,
53.1,50.19,531,30,
53.2,50.19,532,30,
53.3,50.31,533,30,
53.4,50.31,534,30,
53.5,50.31,535,30,
53.6,50.31,536,30,
53.7,50.31,537,30,
53.8,50.31,538,30,
53.9,50.44,539,30,
54,50.44,540,30,
54.1,50.44,541,30,
54.2,50.44,542,30,
54.3,50.44,543,30,
54.4,50.44,544,30,
54.5,50.56,545,30,
54.6,50.56,546,30,
54.7,50.56,547,30,
54.8,50.56,548,30,
54.9,50.56,549,30,
55,50.56,550,30,
55.1,50.69,551,30,
55.2,50.69,552,30,
55.3,50.69,553,30,
55.4,50.69,554,30,
55.5,50.69,555,30,
55.6,50.69,556,30,
55.7,50.81,557,30,
55.8,50.81,558,30,
55.9,50.81,559,30,
56,50.81,560,30,
56.1,50.81,561,30,
56.2,50.81,562,30,
56.3,50.94,563,30,
56.4,50.94,564,30,
56.5,50.94,565,30,
56.6,50.94,566,30,
56.7,50.94,567,30,
56.8,50.94,568,30,
56.9,51.06,569,30,
57,51.06,570,30,
57.1,51.06,571,30,
57.2,51.06,572,30,
57.3,51.06,573,30,
57.4,51.06,574,30,
57.5,51.19,575,30,
57.6,51.19,576,30,
57.7,51.19,577,30,
57.8,51.19,578,30,
57.9,51.19,579,30,
58,51.19,580,30,
58.1,51.31,581,30,
58.2,51.31,582,30,
58.3,51.31,583,30,
58.4,51.31,584,30,
58.5,51.31,585,30,
58.6,51.31,586,30,
58.7,51.44,587,30,
58.8,51.44,588,30,
58.9,51.44,589,30,
59,51.44,590,30,
59.1,51.44,591,30,
59.2,51.44,592,30,
59.3,51.56,593,30,
59.4,51.56,594,30,
59.5,51.56,595,30,
59.6,51.56,596,30,
59.7,51.56,597,30,
59.8,51.56,598,30,
59.9,51.69,599,30,
60,51.69,600,30,
60.1,51.69,601,30,
60.2,51.69,602,30,
60.3,51.69,603,30,
60.4,51.69,604,30,
60.5,51.81,605,30,
60.6,51.81,606,30,
60.7,51.81,607,30,
60.8,51.81,608,30,
60.9,51.81,609,30,
61,51.81,610,30,
61.1,51.94,611,30,
61.2,51.94,612,30,
61.3,51.94,613,30,
61.4,51.94,614,30,
61.5,51.94,615,30,
61.6,51.94,616,30,
61.7,52,617,30,
61.8,52,618,30,
61.9,52,619,30,
62,52,620,30,
62.1,52,621,30,
62.2,52,622,30,
62.3,52.19,623,30,
62.4,52.19,624,30,
62.5,52.19,625,30,
62.6,52.19,626,30,
62.7,52.19,627,30,
62.8,52.19,628,30,
62.9,52.25,629,30,
63,52.25,630,30,
63.1,52.25,631,30,
63.2,52.25,632,30,
63.3,52.25,633,30,
63.4,52.25,634,30,
63.5,52.38,635,30,
63.6,52.38,636,30,
63.7,52.38,637,30,
63.8,52.38,638,30,
63.9,52.38,639,30,
64,52.38,640,30,
64.1,52.5,641,30,
64.2,52.5,642,30,
64.3,52.5,643,30,
64.4,52.5,644,30,
64.5,52.5,645,30,
64.6,52.5,646,30,
64.7,52.63,647,30,
64.8,52.63,648,30,
64.9,52.63,649,30,
65,52.63,650,30,
65.1,52.63,651,30,
65.2,52.63,652,30,
65.3,52.75,653,30,
65.4,52.75,654,30,
65.5,52.75,655,30,
65.6,52.75,656,30,
65.7,52.75,657,30,
65.8,52.75,658,30,
65.9,52.88,659,30,
66,52.88,660,30,
66.1,52.88,661,30,
66.2,52.88,662,30,
66.3,52.88,663,30,
66.4,52.88,664,30,
66.5,53,665,30,
66.6,53,666,30,
66.7,53,667,30,
66.8,53,668,30,
66.9,53,669,30,
67,53,670,30,
67.1,53.13,671,30,
67.2,53.13,672,30,
67.3,53.13,673,30,
67.4,53.13,674,30,
67.5,53.13,675,30,
67.6,53.13,676,30,
67.7,53.19,677,30,
67.8,53.19,678,30,
67.9,53.19,679,30,
68,53.19,680,30,
68.1,53.19,681,30,
68.2,53.19, , ,
